candidate_id,estimator_type,feature_count,hyperparameters,overfitting_gap,validation_balanced_accuracy,validation_macro_f1,validation_macro_recall,validation_min_class_recall
linear_svm_C=0.1_class_weight=balanced,linear_svm,44,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.25346131948357264, ""macro_f1_train_minus_validation"": 0.23643269759697494, ""macro_recall_train_minus_validation"": 0.25346131948357264}",0.4475693491066475,0.40490897473692,0.4475693491066475,0.2608695652173913
linear_svm_C=1.0_class_weight=balanced,linear_svm,44,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.26443211753953155, ""macro_f1_train_minus_validation"": 0.263681370088564, ""macro_recall_train_minus_validation"": 0.26443211753953144}",0.4375834590664096,0.4044705441008561,0.4375834590664096,0.2608695652173913
linear_svm_C=0.1_class_weight=none,linear_svm,44,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 3000, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.26816492018495575, ""macro_f1_train_minus_validation"": 0.2669776415950574, ""macro_recall_train_minus_validation"": 0.2681649201849558}",0.40769734918840816,0.39210477444648845,0.4076973491884081,0.1891891891891892
linear_svm_C=1.0_class_weight=none,linear_svm,44,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 3000, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.29076270557595263, ""macro_f1_train_minus_validation"": 0.2957513216306603, ""macro_recall_train_minus_validation"": 0.29076270557595263}",0.40746558755083473,0.3893886552950001,0.40746558755083473,0.23423423423423423
