candidate_id,estimator_type,feature_set,hyperparameters,selected_score,train_validation_gap,validation_balanced_accuracy,validation_disgust_recall,validation_macro_f1,validation_macro_recall,validation_minimum_class_recall
random_forest_n=40_depth=10_class_weight=none_image_statistics,random_forest,image_statistics,"{""class_weight"": null, ""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 40, ""n_jobs"": 1, ""random_state"": 43107}","(0.18216108572471673, 0.18612836438923394, 0.18612836438923394, 0.11, 0.2028985507246377, -0.730856073373535, 1, 1)","{""balanced_accuracy_train_minus_validation"": 0.7267287784679088, ""macro_f1_train_minus_validation"": 0.730856073373535, ""macro_recall_train_minus_validation"": 0.7267287784679088}",0.18612836438923394,0.2028985507246377,0.18216108572471673,0.18612836438923394,0.11
logistic_regression_C=0.1_class_weight=none_image_statistics,logistic_regression,image_statistics,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 120, ""multi_class"": ""auto"", ""n_jobs"": 1, ""random_state"": 43107, ""solver"": ""saga""}","(0.1652176861813222, 0.1777018633540373, 0.1777018633540373, 0.03, 0.17391304347826086, -0.051773990175570855, 3, 2)","{""balanced_accuracy_train_minus_validation"": 0.05658385093167698, ""macro_f1_train_minus_validation"": 0.051773990175570855, ""macro_recall_train_minus_validation"": 0.05658385093167698}",0.1777018633540373,0.17391304347826086,0.1652176861813222,0.1777018633540373,0.03
logistic_regression_C=0.1_class_weight=balanced_image_statistics,logistic_regression,image_statistics,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 120, ""multi_class"": ""auto"", ""n_jobs"": 1, ""random_state"": 43107, ""solver"": ""saga""}","(0.1652176861813222, 0.1777018633540373, 0.1777018633540373, 0.03, 0.17391304347826086, -0.051773990175570855, 3, 2)","{""balanced_accuracy_train_minus_validation"": 0.05658385093167698, ""macro_f1_train_minus_validation"": 0.051773990175570855, ""macro_recall_train_minus_validation"": 0.05658385093167698}",0.1777018633540373,0.17391304347826086,0.1652176861813222,0.1777018633540373,0.03
linear_svm_C=0.1_class_weight=none_image_statistics,linear_svm,image_statistics,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 1000, ""random_state"": 43107}","(0.1585689102464606, 0.1754865424430642, 0.1754865424430642, 0.02, 0.18840579710144928, -0.04324037194472327, 2, 3)","{""balanced_accuracy_train_minus_validation"": 0.04737060041407867, ""macro_f1_train_minus_validation"": 0.04324037194472327, ""macro_recall_train_minus_validation"": 0.04737060041407867}",0.1754865424430642,0.18840579710144928,0.1585689102464606,0.1754865424430642,0.02
linear_svm_C=0.1_class_weight=balanced_image_statistics,linear_svm,image_statistics,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""random_state"": 43107}","(0.1585689102464606, 0.1754865424430642, 0.1754865424430642, 0.02, 0.18840579710144928, -0.04324037194472327, 2, 3)","{""balanced_accuracy_train_minus_validation"": 0.04737060041407867, ""macro_f1_train_minus_validation"": 0.04324037194472327, ""macro_recall_train_minus_validation"": 0.04737060041407867}",0.1754865424430642,0.18840579710144928,0.1585689102464606,0.1754865424430642,0.02
