candidate_id,estimator_type,feature_count,hyperparameters,overfitting_gap,validation_balanced_accuracy,validation_macro_f1,validation_macro_recall,validation_min_class_recall
logistic_regression_C=10.0_class_weight=none,logistic_regression,44,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.4185049051899069, ""macro_f1_train_minus_validation"": 0.4618252664746438, ""macro_recall_train_minus_validation"": 0.418504905189907}",0.41149509481009305,0.3673640340946374,0.41149509481009305,0.2463768115942029
logistic_regression_C=10.0_class_weight=balanced,logistic_regression,44,"{""C"": 10.0, ""class_weight"": ""balanced"", ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.41765572040729826, ""macro_f1_train_minus_validation"": 0.4619932194584548, ""macro_recall_train_minus_validation"": 0.4176557204072983}",0.4123442795927017,0.3671960811108264,0.41234427959270176,0.2463768115942029
logistic_regression_C=1.0_class_weight=none,logistic_regression,44,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.38594776099641104, ""macro_f1_train_minus_validation"": 0.4393691131406567, ""macro_recall_train_minus_validation"": 0.38594776099641104}",0.40655223900358894,0.3501458263594908,0.40655223900358894,0.2246376811594203
logistic_regression_C=1.0_class_weight=balanced,logistic_regression,44,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.384179247794474, ""macro_f1_train_minus_validation"": 0.43789584678562327, ""macro_recall_train_minus_validation"": 0.384179247794474}",0.40582075220552605,0.348615147447826,0.40582075220552605,0.2246376811594203
logistic_regression_C=0.1_class_weight=none,logistic_regression,44,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.3286820676531845, ""macro_f1_train_minus_validation"": 0.3834516178772033, ""macro_recall_train_minus_validation"": 0.3286820676531843}",0.39881793234681556,0.33517843486782717,0.3988179323468156,0.18478260869565216
logistic_regression_C=0.1_class_weight=balanced,logistic_regression,44,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.32813901780986293, ""macro_f1_train_minus_validation"": 0.3832912997812482, ""macro_recall_train_minus_validation"": 0.3281390178098628}",0.39686098219013716,0.33243963973989477,0.39686098219013716,0.18478260869565216
