candidate_id,estimator_type,feature_set,hyperparameters,selected_score,train_validation_gap,validation_balanced_accuracy,validation_disgust_recall,validation_macro_f1,validation_macro_recall,validation_minimum_class_recall
linear_svm_C=0.1_class_weight=balanced_image_statistics,linear_svm,image_statistics,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""random_state"": 43107}","(0.17171761482387113, 0.201431479820247, 0.201431479820247, 0.014492753623188406, 0.014492753623188406, -0.003628000354407218, 2, 3)","{""balanced_accuracy_train_minus_validation"": -0.0015859256331200722, ""macro_f1_train_minus_validation"": -0.003628000354407218, ""macro_recall_train_minus_validation"": -0.0015859256331200722}",0.201431479820247,0.014492753623188406,0.17171761482387113,0.201431479820247,0.014492753623188406
logistic_regression_C=0.1_class_weight=balanced_image_statistics,logistic_regression,image_statistics,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 120, ""multi_class"": ""auto"", ""n_jobs"": 1, ""random_state"": 43107, ""solver"": ""saga""}","(0.15910672246765944, 0.20355350448899684, 0.20355350448899684, 0.038834951456310676, 0.15942028985507245, -0.005896885130114382, 3, 2)","{""balanced_accuracy_train_minus_validation"": 0.003748196686495009, ""macro_f1_train_minus_validation"": -0.005896885130114382, ""macro_recall_train_minus_validation"": 0.003748196686495009}",0.20355350448899684,0.15942028985507245,0.15910672246765944,0.20355350448899684,0.038834951456310676
random_forest_n=40_depth=10_class_weight=none_image_statistics,random_forest,image_statistics,"{""class_weight"": null, ""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 40, ""n_jobs"": 1, ""random_state"": 43107}","(0.15871236502968888, 0.18355722023477586, 0.18355722023477586, 0.0, 0.0, -0.14550372023959973, 1, 1)","{""balanced_accuracy_train_minus_validation"": 0.11146669560162112, ""macro_f1_train_minus_validation"": 0.14550372023959973, ""macro_recall_train_minus_validation"": 0.11146669560162112}",0.18355722023477586,0.0,0.15871236502968888,0.18355722023477586,0.0
logistic_regression_C=0.1_class_weight=none_image_statistics,logistic_regression,image_statistics,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 120, ""multi_class"": ""auto"", ""n_jobs"": 1, ""random_state"": 43107, ""solver"": ""saga""}","(0.11168316271634869, 0.16194893503347532, 0.16194893503347532, 0.0, 0.0, -0.0020030963922348377, 3, 2)","{""balanced_accuracy_train_minus_validation"": -0.0019827245509179414, ""macro_f1_train_minus_validation"": -0.0020030963922348377, ""macro_recall_train_minus_validation"": -0.0019827245509179414}",0.16194893503347532,0.0,0.11168316271634869,0.16194893503347532,0.0
linear_svm_C=0.1_class_weight=none_image_statistics,linear_svm,image_statistics,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 1000, ""random_state"": 43107}","(0.10092900153650317, 0.15789317664977426, 0.15789317664977426, 0.0, 0.0, -0.003377080779225272, 2, 3)","{""balanced_accuracy_train_minus_validation"": -0.0026010669537312736, ""macro_f1_train_minus_validation"": -0.003377080779225272, ""macro_recall_train_minus_validation"": -0.0026010669537312736}",0.15789317664977426,0.0,0.10092900153650317,0.15789317664977426,0.0
