candidate_id,estimator_type,feature_count,hyperparameters,overfitting_gap,validation_balanced_accuracy,validation_macro_f1,validation_macro_recall,validation_min_class_recall
logistic_regression_C=10.0_class_weight=balanced,logistic_regression,44,"{""C"": 10.0, ""class_weight"": ""balanced"", ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.2660201424453908, ""macro_f1_train_minus_validation"": 0.2678952171171658, ""macro_recall_train_minus_validation"": 0.26602014244539096}",0.4459594038567128,0.4162596289533491,0.44595940385671273,0.31521739130434784
logistic_regression_C=0.1_class_weight=balanced,logistic_regression,44,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.25027402969410384, ""macro_f1_train_minus_validation"": 0.22612282023717722, ""macro_recall_train_minus_validation"": 0.25027402969410373}",0.4544937650926869,0.4076694340935827,0.4544937650926869,0.286231884057971
logistic_regression_C=1.0_class_weight=balanced,logistic_regression,44,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.2710285974371922, ""macro_f1_train_minus_validation"": 0.26194535448467793, ""macro_recall_train_minus_validation"": 0.2710285974371921}",0.4391865900184624,0.40439678567299686,0.4391865900184624,0.2534562211981567
logistic_regression_C=10.0_class_weight=none,logistic_regression,44,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.2827778933534313, ""macro_f1_train_minus_validation"": 0.29813810391956197, ""macro_recall_train_minus_validation"": 0.2827778933534313}",0.41981547577510936,0.4029348750722971,0.41981547577510936,0.25225225225225223
logistic_regression_C=0.1_class_weight=none,logistic_regression,44,"{""C"": 0.1, ""class_weight"": null, ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.257909571777868, ""macro_f1_train_minus_validation"": 0.2586539273950549, ""macro_recall_train_minus_validation"": 0.257909571777868}",0.41407238703806903,0.4017991571340088,0.41407238703806903,0.2072072072072072
logistic_regression_C=1.0_class_weight=none,logistic_regression,44,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 300, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.2841541229544793, ""macro_f1_train_minus_validation"": 0.2951926006200136, ""macro_recall_train_minus_validation"": 0.28415412295447934}",0.41077603371059723,0.39497604874049697,0.4107760337105972,0.21658986175115208
